GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
21,-2025.4238,-19239.9511,-3231.5632,83.00986776,-21265.3749,-3148.55333224,-24413.9282322
22,-2064.9506,-19069.9954,-3288.3689,84.55753944,-21134.946,-3203.81136056,-24338.7573606
23,-2060.2544,-19117.5324,-3242.7237,82.73557008,-21177.7868,-3159.98812992,-24337.7749299
24,-2079.5071,-19105.3873,-3255.321,84.33047304,-21184.8944,-3170.99052696,-24355.884927
25,-2064.9425,-19097.3973,-3255.3097,84.34631592,-21162.3398,-3170.96338408,-24333.3031841
26,-2080.3617,-19059.0896,-3277.2236,84.49918128,-21139.4513,-3192.72441872,-24332.1757187
27,-2051.9013,-19111.9922,-3268.1395,82.73475648,-21163.8935,-3185.40474352,-24349.2982435
28,-2061.5577,-19137.9505,-3280.2085,82.50844032,-21199.5082,-3197.70005968,-24397.2082597
29,-2073.3417,-19167.4314,-3220.8279,80.05569696,-21240.7731,-3140.77220304,-24381.545303
30,-2026.3658,-19053.8659,-3294.519,81.74631816,-21080.2317,-3212.77268184,-24293.0043818
31,-2082.9958,-19127.4484,-3240.526,81.69791688,-21210.4442,-3158.82808312,-24369.2722831
32,-2054.6068,-19094.7199,-3257.9288,81.22185864,-21149.3267,-3176.70694136,-24326.0336414
33,-2045.3459,-19019.5554,-3321.091,82.3575672,-21064.9013,-3238.7334328,-24303.6347328
34,-2084.1991,-19057.1903,-3291.8733,80.98520184,-21141.3894,-3210.88809816,-24352.2774982
35,-2061.2191,-19110.9898,-3281.9147,79.8675552,-21172.2089,-3202.0471448,-24374.2560448
36,-2055.6301,-19023.0914,-3320.9456,80.63793216,-21078.7215,-3240.30766784,-24319.0291678
37,-2051.0694,-18990.3331,-3343.6086,81.26407656,-21041.4025,-3262.34452344,-24303.7470234
38,-2061.9898,-18943.9951,-3383.267,82.05104592,-21005.9849,-3301.21595408,-24307.2008541
39,-2038.9512,-19012.806,-3346.4278,83.63604816,-21051.7572,-3262.79175184,-24314.5489518
40,-2083.8523,-18988.0134,-3354.5991,80.9929116,-21071.8657,-3273.6061884,-24345.4718884
41,-2059.5249,-18946.0462,-3406.9099,82.9772928,-21005.5711,-3323.9326072,-24329.5037072
42,-2076.3628,-19030.6572,-3332.3643,81.4625568,-21107.02,-3250.9017432,-24357.9217432
43,-2076.8045,-19056.3533,-3296.6497,80.43391584,-21133.1578,-3216.21578416,-24349.3735842
44,-2103.8849,-18971.3515,-3357.6861,81.2158704,-21075.2364,-3276.4702296,-24351.7066296
45,-2064.509,-19005.6774,-3325.6425,81.1396296,-21070.1864,-3244.5028704,-24314.6892704
46,-2093.4559,-18983.8412,-3324.5356,80.69421312,-21077.2971,-3243.84138688,-24321.1384869
47,-2098.955,-19042.3923,-3312.6016,80.71190712,-21141.3473,-3231.88969288,-24373.2369929
48,-2038.4873,-19099.9915,-3282.2361,80.96631264,-21138.4788,-3201.26978736,-24339.7485874
49,-2077.9238,-18978.6902,-3333.5674,81.19612728,-21056.614,-3252.37127272,-24308.9852727
50,-2047.8229,-18965.3269,-3367.744,81.64864152,-21013.1498,-3286.09535848,-24299.2451585
51,-2084.594,-18965.4042,-3365.7462,80.30158632,-21049.9982,-3285.44461368,-24335.4428137
52,-2053.1019,-18971.5878,-3330.855,80.61843888,-21024.6897,-3250.23656112,-24274.9262611
53,-2090.7323,-18999.4929,-3322.2759,80.62657848,-21090.2252,-3241.64932152,-24331.8745215
54,-2082.4964,-18965.7361,-3327.6756,80.853264,-21048.2325,-3246.822336,-24295.054836
55,-2098.4205,-19110.4725,-3275.2101,79.72729344,-21208.893,-3195.48280656,-24404.3758066
56,-2055.2361,-18982.7229,-3355.6244,81.07026768,-21037.959,-3274.55413232,-24312.5131323
57,-2043.6047,-19061.1865,-3276.2883,81.16762824,-21104.7912,-3195.12067176,-24299.9118718
58,-2091.498,-18950.9518,-3345.2644,81.13249296,-21042.4498,-3264.13190704,-24306.581707
59,-2111.3009,-18995.6581,-3363.2797,81.0917712,-21106.959,-3282.1879288,-24389.1469288
60,-2107.6122,-18928.682,-3400.3101,81.67031784,-21036.2942,-3318.63978216,-24354.9339822
